geography_type,year,geography,total,age_0-17,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,age_80+,age_0-4,age_5-11,age_12-17,age_5+,age_18+,age_65+,female,male,latinx,asian_non-latinx,black_non-latinx,white_non-latinx,other_race_non-latinx
Citywide,2018,Chicago,2705988,548999,552935,456321,336457,312965,262991,155334,79986,168114,204152.0,175475.0,2537874,2156989,349712,1386113,1319875,776661,179841.0,784266.0,899980,119467.0
ZIP Code,2018,60601,14675,820,4606,2792,2190,1333,1340,1272,322,550,0.0,0.0,14125,13855,2075,7484,7191,1274,0.0,0.0,9677,0.0
ZIP Code,2018,60602,1244,149,435,462,135,53,10,0,0,61,0.0,0.0,1183,1095,5,551,693,81,0.0,0.0,788,0.0
ZIP Code,2018,60603,1174,56,561,101,97,197,97,65,0,13,0.0,0.0,1161,1118,112,601,573,115,0.0,0.0,707,0.0
ZIP Code,2018,60604,782,38,303,104,51,101,130,50,5,12,0.0,0.0,770,744,93,413,369,34,0.0,0.0,479,0.0
ZIP Code,2018,60605,27519,2260,8103,6316,3567,3344,2455,1204,270,837,0.0,0.0,26682,25259,2569,14381,13138,1608,0.0,0.0,15781,0.0
ZIP Code,2018,60606,3101,101,750,861,465,321,514,89,0,57,0.0,0.0,3044,3000,431,1599,1502,195,0.0,0.0,2129,0.0
ZIP Code,2018,60607,29591,3350,11384,7522,3048,1981,1321,632,353,1660,0.0,0.0,27931,26241,1604,14867,14724,2457,0.0,0.0,15440,0.0
ZIP Code,2018,60608,79205,14910,20255,14382,10013,8234,6440,3119,1852,4186,0.0,0.0,75019,64295,7852,35360,43845,40146,0.0,0.0,15148,0.0
ZIP Code,2018,60609,61495,16600,12450,8451,7324,7061,5176,3378,1055,4820,0.0,0.0,56675,44895,6977,31225,30270,32860,0.0,0.0,9172,0.0
ZIP Code,2018,60610,39019,3565,11398,8786,3667,3369,4242,2939,1053,1845,0.0,0.0,37174,35454,6029,21145,17874,2601,0.0,0.0,26809,0.0
ZIP Code,2018,60611,32426,1638,7544,7215,2478,3937,4785,3267,1562,892,0.0,0.0,31534,30788,7079,17219,15207,1701,0.0,0.0,23167,0.0
ZIP Code,2018,60612,34311,8160,7877,5806,4012,3889,2746,1209,612,2385,0.0,0.0,31926,26151,3136,17631,16680,4206,0.0,0.0,7334,0.0
ZIP Code,2018,60613,50113,5793,14643,12674,5748,4958,3187,1880,1230,2555,0.0,0.0,47558,44320,4429,24908,25205,5662,0.0,0.0,36600,0.0
ZIP Code,2018,60614,71308,9924,24906,14595,7345,5770,4930,2536,1302,3908,0.0,0.0,67400,61384,6179,35363,35945,4317,0.0,0.0,56762,0.0
ZIP Code,2018,60615,41563,6673,11046,6725,4549,4288,4323,2506,1453,2006,0.0,0.0,39557,34890,6022,22423,19140,2573,0.0,0.0,10984,0.0
ZIP Code,2018,60616,54464,8215,11692,9486,6755,6620,6221,3303,2172,2457,0.0,0.0,52007,46249,8683,28657,25807,4600,0.0,0.0,13160,0.0
ZIP Code,2018,60617,82534,21337,14040,8927,10660,10625,7611,5733,3601,5105,0.0,0.0,77429,61197,12791,44374,38160,31079,0.0,0.0,5215,0.0
ZIP Code,2018,60618,94395,20478,16967,19950,14365,10161,6948,3432,2094,6916,0.0,0.0,87479,73917,8526,46244,48151,38152,0.0,0.0,45553,0.0
ZIP Code,2018,60619,61258,13004,9237,7612,6708,9315,8378,3953,3051,3911,0.0,0.0,57347,48254,10410,33577,27681,869,0.0,0.0,854,0.0
ZIP Code,2018,60620,68096,14684,11375,7287,8437,10136,7482,5062,3633,3563,0.0,0.0,64533,53412,11842,38095,30001,911,0.0,0.0,755,0.0
ZIP Code,2018,60621,29042,7810,5183,3250,2926,4073,2897,1739,1164,2504,0.0,0.0,26538,21232,3928,15858,13184,1061,0.0,0.0,320,0.0
ZIP Code,2018,60622,52793,8055,14666,15452,6263,3783,2594,1125,855,3540,0.0,0.0,49253,44738,3119,25577,27216,11579,0.0,0.0,34144,0.0
ZIP Code,2018,60623,85979,26387,15945,12798,10170,9008,6621,3450,1600,6801,0.0,0.0,79178,59592,7805,44032,41947,56864,0.0,0.0,2508,0.0
ZIP Code,2018,60624,36158,11024,6743,4302,4411,4232,2806,1616,1024,3276,0.0,0.0,32882,25134,3922,19252,16906,1915,0.0,0.0,989,0.0
ZIP Code,2018,60625,79243,15820,15783,16649,11120,8508,6399,2813,2151,5981,0.0,0.0,73262,63423,7575,39551,39692,25978,0.0,0.0,36086,0.0
ZIP Code,2018,60626,49730,8302,12049,9619,6518,5764,4040,2143,1295,2553,0.0,0.0,47177,41428,5031,25148,24582,10252,0.0,0.0,22444,0.0
ZIP Code,2018,60628,66724,15513,11827,7029,8502,8953,7216,4984,2700,4153,0.0,0.0,62571,51211,11272,35908,30816,2292,0.0,0.0,1281,0.0
ZIP Code,2018,60629,111850,32380,21377,16517,14408,11184,8590,5356,2038,8884,0.0,0.0,102966,79470,11127,57035,54815,79432,0.0,0.0,9203,0.0
ZIP Code,2018,60630,57344,11913,7773,8847,7381,8978,6351,3422,2679,3527,0.0,0.0,53817,45431,8738,29455,27889,16007,0.0,0.0,32184,0.0
ZIP Code,2018,60631,29529,5985,3662,3896,4358,4127,3549,1897,2055,1875,0.0,0.0,27654,23544,5469,15265,14264,3152,0.0,0.0,24253,0.0
ZIP Code,2018,60632,91039,26881,17407,13371,11676,9069,6795,4009,1831,7048,0.0,0.0,83991,64158,8702,44667,46372,76434,0.0,0.0,7996,0.0
ZIP Code,2018,60633,12871,2827,2173,1766,1515,2173,1227,765,425,890,0.0,0.0,11981,10044,1676,6085,6786,5790,0.0,0.0,4048,0.0
ZIP Code,2018,60634,75995,16581,11044,11242,10440,10766,8425,4638,2859,5026,0.0,0.0,70969,59414,11417,39061,36934,29065,0.0,0.0,41060,0.0
ZIP Code,2018,60636,32203,7442,5062,3611,3903,4461,3132,3321,1271,1964,0.0,0.0,30239,24761,6194,16978,15225,2472,0.0,0.0,338,0.0
ZIP Code,2018,60637,47454,11552,11606,5984,4834,5367,4549,2253,1309,3182,0.0,0.0,44272,35902,5463,26577,20877,1341,0.0,0.0,6858,0.0
ZIP Code,2018,60638,58797,14300,8208,9003,7394,8132,6179,3337,2244,4023,0.0,0.0,54774,44497,8239,29764,29033,30440,0.0,0.0,25612,0.0
ZIP Code,2018,60639,90517,24573,16203,13873,12852,10387,7660,3539,1430,6633,0.0,0.0,83884,65944,8137,45508,45009,70538,0.0,0.0,6104,0.0
ZIP Code,2018,60640,69715,9545,14152,14142,10576,8963,5970,3574,2793,3256,0.0,0.0,66459,60170,8987,34101,35614,9939,0.0,0.0,38554,0.0
ZIP Code,2018,60641,71023,15849,11820,12054,9928,9061,7206,3177,1928,4627,0.0,0.0,66396,55174,7905,36182,34841,38350,0.0,0.0,26008,0.0
ZIP Code,2018,60642,20201,2331,6707,5581,2200,1416,1110,585,271,999,0.0,0.0,19202,17870,1322,10092,10109,4074,0.0,0.0,12126,0.0
ZIP Code,2018,60643,49870,11082,6126,5627,6451,8105,5905,3706,2868,3134,0.0,0.0,46736,38788,9153,27232,22638,1649,0.0,0.0,10138,0.0
ZIP Code,2018,60644,47712,12336,9394,5857,5261,6048,4851,2517,1448,3623,0.0,0.0,44089,35376,6201,25669,22043,3068,0.0,0.0,1392,0.0
ZIP Code,2018,60645,47732,12906,7091,6952,5824,5468,5064,2621,1806,4329,0.0,0.0,43403,34826,6564,23992,23740,8127,0.0,0.0,21481,0.0
ZIP Code,2018,60646,27987,6000,3377,3458,3787,4086,3238,2108,1933,1802,0.0,0.0,26185,21987,5732,14765,13222,3971,0.0,0.0,20315,0.0
ZIP Code,2018,60647,87509,16298,22356,20993,11055,7700,5309,2695,1103,5924,0.0,0.0,81585,71211,6224,43182,44327,39226,0.0,0.0,38809,0.0
ZIP Code,2018,60649,46024,10493,7505,6417,5950,5706,5593,2807,1553,3215,0.0,0.0,42809,35531,6570,26852,19172,1183,0.0,0.0,1315,0.0
ZIP Code,2018,60651,63218,17329,11457,8910,7649,7391,5787,3359,1336,4780,0.0,0.0,58438,45889,7220,34084,29134,26860,0.0,0.0,2623,0.0
ZIP Code,2018,60652,43907,11679,7185,5764,6105,6065,4062,1897,1150,2769,0.0,0.0,41138,32228,4740,23123,20784,17479,0.0,0.0,4472,0.0
ZIP Code,2018,60653,31972,8912,4760,4635,4404,3369,3233,1547,1112,2632,0.0,0.0,29340,23060,4122,18269,13703,689,0.0,0.0,1374,0.0
ZIP Code,2018,60654,19135,1611,5273,5645,2508,2217,1231,489,161,1164,0.0,0.0,17971,17524,1127,9381,9754,997,0.0,0.0,14124,0.0
ZIP Code,2018,60655,28804,7015,4153,3686,3798,4366,3278,1582,926,2026,0.0,0.0,26778,21789,3731,14928,13876,2390,0.0,0.0,23795,0.0
ZIP Code,2018,60656,27579,4947,3690,4934,3623,3805,3208,2115,1257,1697,0.0,0.0,25882,22632,4637,13587,13992,3382,0.0,0.0,21053,0.0
ZIP Code,2018,60657,70052,8438,23899,17032,7053,5646,4288,2099,1597,3808,0.0,0.0,66244,61614,5618,34638,35414,4901,0.0,0.0,56392,0.0
ZIP Code,2018,60659,41068,10154,7449,6165,5198,5372,3730,2043,957,2847,0.0,0.0,38221,30914,4603,20037,21031,7880,0.0,0.0,16363,0.0
ZIP Code,2018,60660,43242,5045,10237,8402,5742,5475,4709,2347,1285,1891,0.0,0.0,41351,38197,5741,21705,21537,7728,0.0,0.0,22313,0.0
ZIP Code,2018,60661,9926,683,3772,3229,1227,623,369,23,0,447,0.0,0.0,9479,9243,217,4817,5109,640,0.0,0.0,5091,0.0
ZIP Code,2018,60666,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0
ZIP Code,2018,60707,43019,9285,6546,5958,5818,6006,5111,2582,1713,2292,0.0,0.0,40727,33734,6745,22267,20752,16505,0.0,0.0,20677,0.0
ZIP Code,2018,60827,28577,8345,4822,3415,3957,3569,2879,1196,394,2591,0.0,0.0,25986,20232,2763,15666,12911,1222,0.0,0.0,760,0.0
Citywide,2019,Chicago,2693959,555424,526788,469300,340219,294864,261009,157790,88565,162797,210448.0,180859.0,2531162,2138535,362629,1382528,1311431,776290,184768.0,768524.0,901941,62436.0
Zip Code,2019,60601,15083,880,5207,2796,2090,970,1733,1154,253,426,237.0,199.0,14657,14203,2109,8054,7029,1224,2859.0,638.0,9939,423.0
Zip Code,2019,60602,1145,149,207,527,180,66,16,0,0,56,91.0,0.0,1089,996,6,506,639,74,245.0,49.0,680,97.0
Zip Code,2019,60603,1052,16,498,131,76,174,85,72,0,5,0.0,11.0,1047,1036,120,529,523,34,337.0,34.0,640,7.0
Zip Code,2019,60604,823,36,325,159,55,91,103,45,9,10,7.0,19.0,813,787,72,431,392,28,240.0,41.0,514,0.0
Zip Code,2019,60605,29060,2411,8519,7270,3621,3180,2165,1445,449,1047,966.0,390.0,28013,26649,2923,15928,13132,2185,4377.0,4270.0,16865,1363.0
Zip Code,2019,60606,3287,119,660,1096,483,342,479,108,0,75,44.0,0.0,3212,3168,378,1606,1681,188,667.0,58.0,2206,168.0
Zip Code,2019,60607,29293,3141,11280,7216,3107,2154,1403,651,341,1317,1257.0,542.0,27976,26152,1544,14563,14730,2151,6304.0,4168.0,15719,951.0
Zip Code,2019,60608,80059,14812,20455,14507,10292,8176,6705,3266,1846,4318,6021.0,4449.0,75741,65247,7939,35599,44460,38984,9914.0,13326.0,16955,880.0
Zip Code,2019,60609,60939,15773,12444,8167,7597,6735,5442,3723,1058,4648,6112.0,4998.0,56291,45166,7373,30782,30157,32291,3792.0,15015.0,9232,609.0
Zip Code,2019,60610,40548,3716,11990,9127,3566,3454,4325,3148,1222,1670,997.0,1041.0,38878,36832,6537,21529,19019,2526,3532.0,5880.0,27468,1142.0
Zip Code,2019,60611,33224,1856,7778,7168,2693,4066,4806,3344,1513,965,445.0,446.0,32259,31368,7142,17716,15508,1573,6156.0,967.0,23769,759.0
Zip Code,2019,60612,33735,7837,7330,5921,4020,3695,2842,1363,727,2255,2832.0,2431.0,31480,25898,3325,17781,15954,4056,1449.0,19873.0,7629,728.0
Zip Code,2019,60613,50761,5885,14036,13315,5534,5059,3409,2080,1443,2726,1981.0,1178.0,48035,44876,4904,25108,25653,5645,3491.0,2985.0,37074,1566.0
Zip Code,2019,60614,71954,10115,24583,14628,7458,5728,5230,2735,1477,3738,3678.0,2638.0,68216,61839,6729,35273,36681,4438,5218.0,3016.0,57117,2165.0
Zip Code,2019,60615,40590,6219,10400,6495,4407,4266,4536,2621,1646,2054,2323.0,1842.0,38536,34371,6411,22464,18126,2220,3448.0,21960.0,11148,1814.0
Zip Code,2019,60616,54197,7829,11557,8634,7107,7319,6256,3243,2252,2095,2782.0,2923.0,52102,46368,8636,28388,25809,4569,21379.0,12694.0,14418,1137.0
Zip Code,2019,60617,83553,22163,14558,8990,10282,10804,7459,5638,3659,5372,8092.0,8699.0,78181,61390,12578,45646,37907,31048,220.0,46967.0,4934,384.0
Zip Code,2019,60618,94907,20662,16885,20317,14662,9723,6847,3814,1997,6642,8411.0,5570.0,88265,74245,8699,47171,47736,38208,5757.0,2408.0,45593,2941.0
Zip Code,2019,60619,61207,12737,9612,7647,6791,9186,8006,4051,3177,3861,4870.0,4002.0,57346,48470,10458,33573,27634,804,145.0,58412.0,903,943.0
Zip Code,2019,60620,67711,15359,10807,7456,8139,9801,7622,5110,3417,3914,5860.0,5585.0,63797,52352,11975,37282,30429,1246,276.0,64588.0,847,754.0
Zip Code,2019,60621,28018,7506,4822,3148,2806,3819,3002,1793,1122,2387,2964.0,2151.0,25631,20512,3969,14898,13120,891,68.0,26517.0,289,253.0
Zip Code,2019,60622,53294,7684,14300,15850,6692,3993,2626,1236,913,3536,2437.0,1708.0,49758,45610,3275,25366,27928,12207,2335.0,3150.0,34207,1395.0
Zip Code,2019,60623,81283,23403,15040,12147,9672,8570,6534,4516,1401,6073,9735.0,7595.0,75210,57880,8645,41033,40250,54297,80.0,24101.0,2366,439.0
Zip Code,2019,60624,34892,10189,6449,4158,4122,3967,3369,1585,1053,2839,4268.0,3074.0,32053,24703,4038,18344,16548,1773,53.0,31436.0,1109,521.0
Zip Code,2019,60625,79444,15998,14847,17078,11236,8505,6608,3005,2167,5762,5896.0,4285.0,73682,63446,8057,40178,39266,25483,10658.0,3599.0,36289,3415.0
Zip Code,2019,60626,50544,8949,12083,9436,6774,5958,3966,1959,1419,2851,3615.0,2397.0,47693,41595,4957,25646,24898,9906,2712.0,13410.0,22592,1924.0
Zip Code,2019,60628,64254,14482,11307,7139,7957,8359,7303,4771,2936,3945,5447.0,5085.0,60309,49772,11046,34294,29960,2267,135.0,59478.0,1333,1041.0
Zip Code,2019,60629,110029,31655,21216,15007,14724,11187,8119,6041,2080,8901,11658.0,11095.0,101128,78374,11593,56206,53823,78826,582.0,21116.0,8463,1042.0
Zip Code,2019,60630,56433,11266,7717,8800,7969,8263,6654,3340,2424,3111,4526.0,3621.0,53322,45167,8687,28985,27448,16066,6177.0,831.0,31403,1956.0
Zip Code,2019,60631,29529,5864,3630,4016,3914,4447,3717,1794,2147,2066,2248.0,1550.0,27463,23665,5573,15197,14332,3500,1031.0,269.0,23763,966.0
Zip Code,2019,60632,89857,25874,17624,12751,11240,9063,6797,4774,1734,6734,10103.0,9037.0,83123,63983,9384,43856,46001,74575,6176.0,1034.0,7652,420.0
Zip Code,2019,60633,12689,2781,1909,1787,1480,1943,1286,975,528,710,805.0,1257.0,11979,9908,2089,6044,6645,6038,0.0,2955.0,3654,42.0
Zip Code,2019,60634,75082,16271,10415,11160,10302,10919,8529,4761,2725,4508,6182.0,5573.0,70574,58811,11445,38764,36318,28812,4121.0,1073.0,40322,754.0
Zip Code,2019,60636,30024,6693,4672,3304,3432,3969,3019,3746,1189,1859,2461.0,2373.0,28165,23331,6321,16097,13927,2823,24.0,26359.0,441,377.0
Zip Code,2019,60637,47300,11114,11975,5877,4931,5254,4636,2183,1330,3022,4169.0,3813.0,44278,36186,5588,26629,20671,1543,2218.0,35425.0,6966,1148.0
Zip Code,2019,60638,58669,14545,7924,8989,7264,7874,6506,3398,2169,3884,5542.0,5119.0,54785,44124,8240,29443,29226,29543,311.0,2177.0,26016,622.0
Zip Code,2019,60639,88204,23036,15550,13440,12571,10179,8034,3780,1614,6161,9273.0,7600.0,82043,65168,8698,44143,44061,68792,1124.0,10828.0,6628,832.0
Zip Code,2019,60640,69363,9048,14021,15071,10179,8372,6017,3545,3110,2910,3768.0,2323.0,66453,60315,9319,33290,36073,9772,7411.0,11484.0,38787,1909.0
Zip Code,2019,60641,69880,15420,10959,11809,10150,8899,7444,3286,1913,4385,5936.0,5075.0,65495,54460,8121,35575,34305,38120,3208.0,1429.0,25014,2109.0
Zip Code,2019,60642,19716,1839,6660,5777,2209,1378,1149,484,220,916,581.0,342.0,18800,17877,1175,9427,10289,3202,1427.0,1962.0,12534,591.0
Zip Code,2019,60643,48887,10830,5760,5903,5640,7757,6766,3341,2890,2989,3560.0,4254.0,45898,38057,9169,26875,22012,1509,139.0,35352.0,10446,1441.0
Zip Code,2019,60644,46591,12104,8152,5982,5530,5631,5072,2507,1613,3337,4801.0,3963.0,43254,34487,6470,24672,21919,3194,103.0,41158.0,1781,355.0
Zip Code,2019,60645,47270,12801,7047,6555,6026,5847,4682,2478,1834,4422,4648.0,3717.0,42848,34469,6345,23525,23745,8312,8373.0,7200.0,21103,2282.0
Zip Code,2019,60646,28569,6507,3187,3464,3915,3779,3546,2231,1940,1801,2422.0,2284.0,26768,22062,5914,15310,13259,4300,2771.0,286.0,20625,587.0
Zip Code,2019,60647,87633,15892,22226,21408,11447,7438,5301,2800,1121,5848,5377.0,4637.0,81785,71741,6315,43228,44405,37622,3019.0,4268.0,40544,2180.0
Zip Code,2019,60649,46633,10399,7662,7040,6036,5582,5548,2849,1517,3122,3913.0,3359.0,43511,36234,6723,26590,20043,1189,148.0,43366.0,1234,696.0
Zip Code,2019,60651,63492,17077,11299,9175,8027,7257,5959,3196,1502,4563,6594.0,5906.0,58929,46415,7500,34216,29276,27245,295.0,32223.0,2799,930.0
Zip Code,2019,60652,43447,11360,7017,5397,6166,6133,4153,2034,1187,2695,4731.0,3933.0,40752,32087,5061,23006,20441,18027,429.0,19747.0,4183,1061.0
Zip Code,2019,60653,33154,9162,5169,4760,4211,3680,3352,1842,978,2902,3319.0,2923.0,30252,23992,4239,18812,14342,913,418.0,29379.0,1624,820.0
Zip Code,2019,60654,20022,1463,5555,5971,2723,2090,1477,539,204,973,404.0,86.0,19049,18559,1330,9979,10043,1156,2851.0,1070.0,14365,580.0
Zip Code,2019,60655,28569,7025,4090,3459,3862,4305,3293,1583,952,1922,2689.0,2414.0,26647,21544,3648,14627,13942,2586,436.0,1836.0,23377,334.0
Zip Code,2019,60656,28218,5241,3628,5206,3587,3756,3230,2244,1326,1878,1902.0,1461.0,26340,22977,4968,13796,14422,3768,2372.0,327.0,21089,662.0
Zip Code,2019,60657,70958,8951,23709,17072,7136,5847,4529,2158,1556,3875,3048.0,2028.0,67083,62007,5702,35306,35652,5385,4887.0,2085.0,56603,1998.0
Zip Code,2019,60659,42735,11218,6875,6767,5499,5173,3984,2231,988,3272,4435.0,3503.0,39463,31517,5103,21244,21491,8873,11861.0,3453.0,16070,2478.0
Zip Code,2019,60660,44498,5361,10768,8716,5623,5616,4552,2422,1440,2009,2166.0,1138.0,42489,39137,5942,22027,22471,7614,6000.0,5937.0,23247,1700.0
Zip Code,2019,60661,10354,917,3386,3459,1430,658,409,58,37,492,292.0,133.0,9862,9437,332,5173,5181,641,2950.0,429.0,6027,307.0
ZIP Code,2019,60666,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0
Zip Code,2019,60707,43093,8982,6752,5495,6005,6181,5269,2826,1583,2331,3726.0,2925.0,40762,34111,6979,22556,20537,16862,1533.0,2981.0,20783,934.0
